"product_name","text","rating"
"Ganz HS031 - LilKinz Leopard Soft Toy 17 cm","Five Stars ",5
"Aurora World 8-inch Mini Flopsie Horse (Hot Pink)","Smaller than expected ",3
"Steiff 30cm Charly Dangling Teddy Bear (Brown)","Cute as a button. ",4
"Plush Soft Toy Sitting Grey Chinchilla by Hansa. 18cm. 5978","adorable ",5
"Ewey the Lamb - Ty Beanie Baby","Beanie Lamb ",4
"Steiff 18cm Fynn Teddy Bear (Beige)","Cuddly ",4
"Ty Beanie Baby - Slowepoke","Cute and cuddly ",5
"LALA - LAMM WEISS MIT GRUENEN","Beani Boo 9 Lala The Lamb ",5
"Warmhearts Fully Microwavable Ragdoll Ellie","Adorable ",5
"Teddy Bear with chameleon limb slither animal reptile image t-shirt","Teddy bear with a T-shirt!!! ",5
"Keel Toys Cuddly Plush labrador on the lead Dog","Very sweet good quality toy ",5
"TY 36148 - OSCAR - EULE MIT GL","Adorable ",5
"Doodle Jump 8-Inch Space Plush Toy","not big but good ",5
"Takaratomy Pokemon X and Y XYN-14 Male Meowstic 9 Plush","Great item! Arrived in excellent condition ",5
"Bluw 80s Stress Ball - Space Pixel","Fun gift ",4
"Tatty Teddy & My Blue Nose Friends Noo the Wildebeest soft toy sits 4 tall.","Lovely Blue Nose toy ",5
"My Pillow Pets Fashion 1PC 40cm Despicable Me Its So Fluffy Agnus the Unicorn 16.5 Plush Pillow Doll","This is as fluffy as your little ones would hope... ",5
"Madagascar [tm] Melman the giraffe TY Beanie","great item ",5
"Pokemon Center Pokedoll 8.5 inch Shiny Gold Magikarp Plush Yellow Fish Toy","Five Stars ",5
"Ty TY Beanie Baby - CLUBBY 6 the Bear (Rainbow Version)","I was really pleased I did as the beanie bear I got is ... ",5
"Luigi Kitsune 9 Plush Super Mario - Global Holding","Really good quality. I bought it for my 4 month ... ",5
"Steiff 35cm Hanno Dangling Hanoverian (Brown)","... looks lovely so am sure the grand daughter will love ",5
"Flamingo Soft Toy - Suma Collection","pink flamingo ",5
"WWF Wolf plush stuffed soft animal toy","The perfect wolf toy ",5
"Melissa & Doug Jack Russell Terrier Plush Toy","Well the recipient loved it... ",3
"Personalised meerkat plush toy with Happy holidays T-Shirt","Five Stars ",5
"Keel Toys 110 cm Elephant","So cute and cuddly ",5
"Yoohoo 5-inch Balloon Plush (Pink)","We love this Yoohoo! ",5
"30cm Cuddlekins Triceratops from Wild Republic","Made me the best Aunty ",5
